GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AHZAE001,AHZAE002,AHZAE003,AHZAE004,AHZAE005,AHZAE006,AHZAE007,AHZAE008,AHZAE009,AHZAE010,AHZAE011,AHZAE012,AHZAE013,AHZAE014,AHZAE015,AHZAE016,AHZAE017,AHZAE018,AHZAE019,AHZAE020,AHZAE021,NAME_M,AHZAM001,AHZAM002,AHZAM003,AHZAM004,AHZAM005,AHZAM006,AHZAM007,AHZAM008,AHZAM009,AHZAM010,AHZAM011,AHZAM012,AHZAM013,AHZAM014,AHZAM015,AHZAM016,AHZAM017,AHZAM018,AHZAM019,AHZAM020,AHZAM021
"G09000100101011","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010101","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",1058,1058,970,33,0,34,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",262,262,247,49,12,56,12,12,37,12,37,12,12,12,12,12,12,12,12,12,12
"G09000100101012","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010101","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",600,574,554,0,0,20,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",146,148,141,12,12,32,12,12,12,12,12,42,42,12,12,12,12,12,12,12,12
"G09000100101013","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010101","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",1221,1118,906,24,9,78,0,0,101,1,100,103,101,0,0,0,0,2,0,0,0,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",306,296,254,35,15,68,12,12,125,3,126,100,100,12,12,12,12,4,12,12,12
"G09000100101014","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010101","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",1393,1314,1157,21,16,120,0,0,0,0,0,79,68,0,0,0,0,11,0,0,0,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",251,236,245,20,25,89,12,12,12,12,12,58,57,12,12,12,12,19,12,12,12
"G09000100101021","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010102","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",1358,1197,1067,0,0,114,0,0,16,0,16,161,153,0,0,0,0,0,8,0,8,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",269,267,237,12,12,106,12,12,25,12,25,119,119,12,12,12,12,12,12,12,12
"G09000100101022","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010102","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",1707,1680,1399,71,11,137,0,0,62,35,27,27,27,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",294,291,295,109,17,93,12,12,68,54,40,41,41,12,12,12,12,12,12,12,12
"G09000100101023","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010102","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",1302,1278,1130,27,0,121,0,0,0,0,0,24,22,0,0,0,0,2,0,0,0,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",310,309,328,33,12,121,12,12,12,12,12,18,18,12,12,12,12,4,12,12,12
"G09000100102011","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010201","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",961,884,784,0,0,91,0,0,9,0,9,77,18,0,0,0,0,59,0,0,0,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",186,165,161,12,12,91,12,12,14,12,14,92,28,12,12,12,12,90,12,12,12
"G09000100102012","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010201","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",966,854,800,11,0,35,0,0,8,0,8,112,100,0,0,0,0,12,0,0,0,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",177,171,167,25,12,43,12,12,13,12,13,76,78,12,12,12,12,29,12,12,12
"G09000100102013","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010201","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",1286,1109,964,11,0,134,0,0,0,0,0,177,146,0,0,31,0,0,0,0,0,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",227,219,214,17,12,95,12,12,12,12,12,137,119,12,12,48,12,12,12,12,12
"G09000100102021","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010202","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",1188,999,840,13,0,146,0,0,0,0,0,189,189,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",277,224,236,21,12,93,12,12,12,12,12,167,167,12,12,12,12,12,12,12,12
"G09000100102022","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010202","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",2094,1806,1527,0,0,224,0,0,55,0,55,288,132,0,0,0,0,111,45,0,45,"Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",282,253,220,12,12,143,12,12,56,12,56,131,86,12,12,12,12,107,50,12,50
"G09000100102023","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010202","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",1472,1458,1229,0,0,219,0,10,0,0,0,14,14,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",253,252,272,12,12,130,12,17,12,12,12,23,23,12,12,12,12,12,12,12,12
"G09000100102024","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010202","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 102.02, Fairfield County, Connecticut",611,566,448,0,0,86,0,0,32,0,32,45,45,0,0,0,0,0,0,0,0,"Block Group 4, Census Tract 102.02, Fairfield County, Connecticut",155,149,107,12,12,103,12,12,51,12,51,57,57,12,12,12,12,12,12,12,12
"G09000100103001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010300","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 103, Fairfield County, Connecticut",735,691,643,0,0,24,0,0,24,0,24,44,44,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 103, Fairfield County, Connecticut",200,175,176,12,12,27,12,12,39,12,39,45,45,12,12,12,12,12,12,12,12
"G09000100103002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010300","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 103, Fairfield County, Connecticut",1126,1032,985,9,0,30,0,0,8,8,0,94,69,0,0,0,0,0,25,0,25,"Block Group 2, Census Tract 103, Fairfield County, Connecticut",269,266,273,14,12,36,12,12,12,12,12,107,94,12,12,12,12,12,39,12,39
"G09000100103003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010300","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 103, Fairfield County, Connecticut",513,505,331,10,0,121,0,0,43,0,43,8,8,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 103, Fairfield County, Connecticut",201,201,125,16,12,170,12,12,59,12,59,12,12,12,12,12,12,12,12,12,12
"G09000100103004","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010300","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 103, Fairfield County, Connecticut",807,727,706,12,0,9,0,0,0,0,0,80,69,0,0,0,0,11,0,0,0,"Block Group 4, Census Tract 103, Fairfield County, Connecticut",195,181,177,28,12,14,12,12,12,12,12,58,51,12,12,12,12,25,12,12,12
"G09000100103005","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010300","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 103, Fairfield County, Connecticut",867,867,823,17,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 5, Census Tract 103, Fairfield County, Connecticut",179,179,185,25,12,30,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G09000100104001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 104, Fairfield County, Connecticut",678,675,535,8,0,105,0,0,27,0,27,3,0,0,0,0,0,3,0,0,0,"Block Group 1, Census Tract 104, Fairfield County, Connecticut",208,208,125,12,12,163,12,12,42,12,42,9,12,12,12,12,12,9,12,12,12
"G09000100104002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010400","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 104, Fairfield County, Connecticut",1133,1110,1070,0,0,40,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 104, Fairfield County, Connecticut",319,322,321,12,12,48,12,12,12,12,12,39,39,12,12,12,12,12,12,12,12
"G09000100104003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010400","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 104, Fairfield County, Connecticut",1502,1403,969,327,0,0,0,0,107,0,107,99,89,0,0,0,0,10,0,0,0,"Block Group 3, Census Tract 104, Fairfield County, Connecticut",502,487,402,332,12,12,12,12,113,12,113,138,135,12,12,12,12,18,12,12,12
"G09000100104004","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010400","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 104, Fairfield County, Connecticut",1256,1065,1057,0,8,0,0,0,0,0,0,191,144,33,0,0,0,0,14,0,14,"Block Group 4, Census Tract 104, Fairfield County, Connecticut",364,376,372,12,20,12,12,12,12,12,12,112,99,40,12,12,12,12,21,12,21
"G09000100104005","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010400","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 104, Fairfield County, Connecticut",616,538,538,0,0,0,0,0,0,0,0,78,0,0,0,0,0,78,0,0,0,"Block Group 5, Census Tract 104, Fairfield County, Connecticut",249,263,263,12,12,12,12,12,12,12,12,96,12,12,12,12,12,96,12,12,12
"G09000100104006","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010400","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 104, Fairfield County, Connecticut",635,635,442,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 6, Census Tract 104, Fairfield County, Connecticut",294,294,190,12,12,175,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G09000100105001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010500","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 105, Fairfield County, Connecticut",854,789,395,220,0,151,0,0,23,0,23,65,65,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 105, Fairfield County, Connecticut",327,311,203,202,12,134,12,12,36,12,36,83,83,12,12,12,12,12,12,12,12
"G09000100105002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010500","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 105, Fairfield County, Connecticut",517,230,145,0,0,71,0,14,0,0,0,287,245,42,0,0,0,0,0,0,0,"Block Group 2, Census Tract 105, Fairfield County, Connecticut",294,148,110,12,12,90,12,23,12,12,12,271,257,65,12,12,12,12,12,12,12
"G09000100105003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010500","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 105, Fairfield County, Connecticut",916,641,470,62,0,26,0,0,83,0,83,275,253,0,0,0,0,0,22,22,0,"Block Group 3, Census Tract 105, Fairfield County, Connecticut",286,223,173,62,12,28,12,12,91,12,91,235,232,12,12,12,12,12,38,38,12
"G09000100105004","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010500","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 105, Fairfield County, Connecticut",1203,832,708,74,0,50,0,0,0,0,0,371,355,0,0,0,0,0,16,0,16,"Block Group 4, Census Tract 105, Fairfield County, Connecticut",513,432,421,56,12,97,12,12,12,12,12,332,335,12,12,12,12,12,25,12,25
"G09000100105005","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010500","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 105, Fairfield County, Connecticut",661,619,529,63,0,14,0,0,13,0,13,42,34,0,0,0,0,8,0,0,0,"Block Group 5, Census Tract 105, Fairfield County, Connecticut",329,337,319,99,12,22,12,12,20,12,20,34,36,12,12,12,12,13,12,12,12
"G09000100105006","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010500","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 105, Fairfield County, Connecticut",1761,1477,1243,107,0,47,0,0,80,48,32,284,230,0,0,0,0,54,0,0,0,"Block Group 6, Census Tract 105, Fairfield County, Connecticut",400,344,319,172,12,60,12,12,69,75,45,194,182,12,12,12,12,87,12,12,12
"G09000100106001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010600","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 106, Fairfield County, Connecticut",741,623,404,110,0,41,0,16,52,0,52,118,73,45,0,0,0,0,0,0,0,"Block Group 1, Census Tract 106, Fairfield County, Connecticut",166,152,113,123,12,44,12,19,49,12,49,70,57,41,12,12,12,12,12,12,12
"G09000100106002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010600","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 106, Fairfield County, Connecticut",528,515,276,133,0,106,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 106, Fairfield County, Connecticut",233,235,81,216,12,78,12,12,12,12,12,19,19,12,12,12,12,12,12,12,12
"G09000100106003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010600","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 106, Fairfield County, Connecticut",599,572,485,15,0,72,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 106, Fairfield County, Connecticut",130,131,115,23,12,56,12,12,12,12,12,32,32,12,12,12,12,12,12,12,12
"G09000100107001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010700","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 107, Fairfield County, Connecticut",695,687,586,0,0,84,0,0,17,0,17,8,8,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 107, Fairfield County, Connecticut",239,240,240,12,12,78,12,12,26,12,26,13,13,12,12,12,12,12,12,12,12
"G09000100107002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010700","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 107, Fairfield County, Connecticut",988,801,662,57,0,73,0,0,9,0,9,187,124,13,0,0,0,0,50,0,50,"Block Group 2, Census Tract 107, Fairfield County, Connecticut",200,195,173,59,12,81,12,12,15,12,15,98,107,21,12,12,12,12,53,12,53
"G09000100107003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010700","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 107, Fairfield County, Connecticut",1278,989,735,173,0,81,0,0,0,0,0,289,131,0,0,0,0,158,0,0,0,"Block Group 3, Census Tract 107, Fairfield County, Connecticut",378,340,338,120,12,60,12,12,12,12,12,244,119,12,12,12,12,229,12,12,12
"G09000100107004","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010700","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 107, Fairfield County, Connecticut",876,863,821,8,0,26,0,0,8,0,8,13,13,0,0,0,0,0,0,0,0,"Block Group 4, Census Tract 107, Fairfield County, Connecticut",327,333,329,13,12,25,12,12,14,12,14,20,20,12,12,12,12,12,12,12,12
"G09000100108001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010800","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 108, Fairfield County, Connecticut",540,427,284,0,0,135,0,0,8,0,8,113,110,0,0,0,0,0,3,0,3,"Block Group 1, Census Tract 108, Fairfield County, Connecticut",160,147,86,12,12,132,12,12,13,12,13,113,113,12,12,12,12,12,6,12,6
"G09000100108002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010800","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 108, Fairfield County, Connecticut",1661,1282,1109,8,0,105,0,0,60,0,60,379,366,1,0,0,0,12,0,0,0,"Block Group 2, Census Tract 108, Fairfield County, Connecticut",247,253,230,15,12,113,12,12,63,12,63,260,259,2,12,12,12,16,12,12,12
"G09000100108003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010800","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 108, Fairfield County, Connecticut",876,835,738,12,0,58,0,0,27,0,27,41,41,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 108, Fairfield County, Connecticut",162,178,168,17,12,53,12,12,41,12,41,62,62,12,12,12,12,12,12,12,12
"G09000100108004","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010800","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 108, Fairfield County, Connecticut",578,578,508,50,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 4, Census Tract 108, Fairfield County, Connecticut",187,187,160,76,12,31,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G09000100109001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010900","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 109, Fairfield County, Connecticut",1486,1199,894,0,0,254,0,0,51,0,51,287,246,0,0,0,0,41,0,0,0,"Block Group 1, Census Tract 109, Fairfield County, Connecticut",265,188,177,12,12,132,12,12,48,12,48,273,260,12,12,12,12,68,12,12,12
"G09000100109002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010900","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 109, Fairfield County, Connecticut",1840,1465,1139,79,11,214,0,0,22,0,22,375,319,0,0,0,0,32,24,24,0,"Block Group 2, Census Tract 109, Fairfield County, Connecticut",364,309,285,120,17,122,12,12,36,12,36,222,233,12,12,12,12,46,36,36,12
"G09000100109003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010900","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 109, Fairfield County, Connecticut",1035,914,742,0,0,172,0,0,0,0,0,121,121,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 109, Fairfield County, Connecticut",235,191,210,12,12,128,12,12,12,12,12,140,140,12,12,12,12,12,12,12,12
"G09000100109004","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"010900","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 109, Fairfield County, Connecticut",992,880,729,13,0,60,0,0,78,0,78,112,104,0,0,0,0,8,0,0,0,"Block Group 4, Census Tract 109, Fairfield County, Connecticut",176,182,148,20,12,74,12,12,83,12,83,117,117,12,12,12,12,13,12,12,12
"G09000100110001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011000","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 110, Fairfield County, Connecticut",668,602,484,15,0,87,0,0,16,0,16,66,66,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 110, Fairfield County, Connecticut",147,135,123,23,12,61,12,12,28,12,28,84,84,12,12,12,12,12,12,12,12
"G09000100110002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011000","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 110, Fairfield County, Connecticut",2294,2107,1925,1,0,153,0,0,28,0,28,187,178,0,0,0,0,0,9,9,0,"Block Group 2, Census Tract 110, Fairfield County, Connecticut",326,319,301,4,12,136,12,12,47,12,47,124,123,12,12,12,12,12,15,15,12
"G09000100110003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011000","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 110, Fairfield County, Connecticut",837,746,689,0,0,0,0,30,27,0,27,91,91,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 110, Fairfield County, Connecticut",180,164,163,12,12,12,12,45,44,12,44,100,100,12,12,12,12,12,12,12,12
"G09000100110004","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011000","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 110, Fairfield County, Connecticut",784,584,479,0,0,41,0,0,64,0,64,200,200,0,0,0,0,0,0,0,0,"Block Group 4, Census Tract 110, Fairfield County, Connecticut",274,209,184,12,12,43,12,12,58,12,58,235,235,12,12,12,12,12,12,12,12
"G09000100110005","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011000","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 110, Fairfield County, Connecticut",791,791,658,0,0,50,0,34,49,0,49,0,0,0,0,0,0,0,0,0,0,"Block Group 5, Census Tract 110, Fairfield County, Connecticut",167,167,173,12,12,38,12,53,63,12,63,12,12,12,12,12,12,12,12,12,12
"G09000100111001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 111, Fairfield County, Connecticut",1368,1165,1084,0,0,67,0,6,8,0,8,203,203,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 111, Fairfield County, Connecticut",241,242,230,12,12,62,12,10,13,12,13,105,105,12,12,12,12,12,12,12,12
"G09000100111002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 111, Fairfield County, Connecticut",1015,939,768,40,13,89,0,0,29,0,29,76,76,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 111, Fairfield County, Connecticut",289,286,221,52,21,112,12,12,44,12,44,56,56,12,12,12,12,12,12,12,12
"G09000100111003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 111, Fairfield County, Connecticut",781,741,723,0,0,6,0,12,0,0,0,40,40,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 111, Fairfield County, Connecticut",206,202,201,12,12,10,12,20,12,12,12,53,53,12,12,12,12,12,12,12,12
"G09000100111004","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011100","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 111, Fairfield County, Connecticut",1354,1316,1187,0,0,99,0,0,30,0,30,38,21,0,0,0,0,8,9,9,0,"Block Group 4, Census Tract 111, Fairfield County, Connecticut",233,230,229,12,12,80,12,12,30,12,30,35,21,12,12,12,12,13,15,15,12
"G09000100112001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 112, Fairfield County, Connecticut",936,900,828,0,0,61,0,0,11,0,11,36,31,0,0,0,0,5,0,0,0,"Block Group 1, Census Tract 112, Fairfield County, Connecticut",168,166,155,12,12,47,12,12,12,12,12,23,22,12,12,12,12,9,12,12,12
"G09000100112002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011200","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 112, Fairfield County, Connecticut",700,562,553,2,0,0,0,0,7,0,7,138,138,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 112, Fairfield County, Connecticut",149,117,118,5,12,12,12,12,12,12,12,94,94,12,12,12,12,12,12,12,12
"G09000100113001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011300","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 113, Fairfield County, Connecticut",1951,1321,1096,50,8,119,0,0,48,0,48,630,430,25,0,0,0,108,67,37,30,"Block Group 1, Census Tract 113, Fairfield County, Connecticut",298,241,235,65,15,143,12,12,51,12,51,240,226,40,12,12,12,89,66,43,47
"G09000100113002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011300","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 113, Fairfield County, Connecticut",877,390,289,0,0,62,18,0,21,21,0,487,328,0,0,0,0,147,12,12,0,"Block Group 2, Census Tract 113, Fairfield County, Connecticut",217,117,93,12,12,67,30,12,32,32,12,204,204,12,12,12,12,122,19,19,12
"G09000100113003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"011300","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 113, Fairfield County, Connecticut",716,263,209,0,0,53,0,0,1,1,0,453,181,0,0,0,0,157,115,0,115,"Block Group 3, Census Tract 113, Fairfield County, Connecticut",302,138,117,12,12,67,12,12,2,2,12,247,116,12,12,12,12,158,140,12,140
"G09000100201001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"020100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 201, Fairfield County, Connecticut",2202,1848,1096,428,0,218,0,0,106,0,106,354,0,123,0,0,0,203,28,28,0,"Block Group 1, Census Tract 201, Fairfield County, Connecticut",460,441,241,400,12,185,12,12,87,12,87,203,12,177,12,12,12,162,56,56,12
"G09000100201002","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"020100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 201, Fairfield County, Connecticut",1108,591,399,143,16,33,0,0,0,0,0,517,416,15,0,0,0,86,0,0,0,"Block Group 2, Census Tract 201, Fairfield County, Connecticut",311,301,217,159,28,45,12,12,12,12,12,323,307,26,12,12,12,127,12,12,12
"G09000100201003","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"020100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 201, Fairfield County, Connecticut",1341,1159,552,460,0,147,0,0,0,0,0,182,82,27,10,0,0,63,0,0,0,"Block Group 3, Census Tract 201, Fairfield County, Connecticut",288,259,196,152,12,127,12,12,12,12,12,103,83,43,18,12,12,60,12,12,12
"G09000100202001","2013-2017",,,"Connecticut","09","Fairfield County","001",,,"020200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 202, Fairfield County, Connecticut",1553,1322,1280,30,0,0,0,0,12,0,12,231,231,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 202, Fairfield County, Connecticut",321,283,283,52,12,12,12,12,19,12,19,251,251,12,12,12,12,12,12,12,12
